"month","subject","checkouts"
2015-04-01,western,285
2015-03-01,graphic novels,11985
2015-03-01,romance,11331
2015-03-01,literature,10098
2015-03-01,mystery,9126
2015-03-01,fantasy,7970
2015-03-01,thriller,7193
2015-03-01,historical fiction,6942
2015-03-01,cartoons and comics,5686
2015-03-01,suspense,4859
2015-03-01,young adult fiction,4637
2015-03-01,humorous stories,4495
2015-03-01,historical fiction,4012
2015-03-01,juvenile fiction,3706
2015-03-01,science fiction,3413
2015-03-01,love stories,2955
2015-03-01,science fiction,2305
2015-03-01,humor (fiction),2271
2015-03-01,domestic fiction,2190
2015-03-01,short stories,2083
2015-03-01,psychological fiction,2045
2015-03-01,adventure stories,2012
2015-03-01,stories in rhyme,1549
2015-03-01,short stories,1469
2015-03-01,young adult literature,1291
2015-03-01,humorous fiction,1281
2015-03-01,erotic literature,1279
2015-03-01,juvenile literature,1099
2015-03-01,young adult fiction,1049
2015-03-01,classic literature,1048
2015-03-01,horror,773
2015-03-01,adventure and adventurers fiction,668
2015-03-01,paranormal fiction,438
2015-03-01,christian fiction,437
2015-03-01,christian fiction,381
2015-03-01,science fiction & fantasy,297
2015-03-01,western,258
2015-02-01,romance,11773
2015-02-01,graphic novels,11372
2015-02-01,literature,9809
2015-02-01,mystery,8867
2015-02-01,fantasy,8600
2015-02-01,thriller,7176
2015-02-01,historical fiction,6714
2015-02-01,cartoons and comics,5290
2015-02-01,suspense,4866
2015-02-01,humorous stories,4477
2015-02-01,young adult fiction,4459
2015-02-01,historical fiction,4317
2015-02-01,juvenile fiction,4186
2015-02-01,science fiction,3512
2015-02-01,love stories,3071
2015-02-01,science fiction,2623
2015-02-01,humor (fiction),2371
2015-02-01,domestic fiction,2177
2015-02-01,adventure stories,1976
2015-02-01,short stories,1781
2015-02-01,psychological fiction,1751
2015-02-01,stories in rhyme,1582
2015-02-01,humorous fiction,1503
2015-02-01,erotic literature,1452
2015-02-01,short stories,1401
2015-02-01,young adult literature,1321
2015-02-01,young adult fiction,1198
2015-02-01,classic literature,1154
2015-02-01,juvenile literature,1113
2015-02-01,horror,804
2015-02-01,adventure and adventurers fiction,572
2015-02-01,paranormal fiction,542
2015-02-01,christian fiction,493
2015-02-01,christian fiction,358
2015-02-01,science fiction & fantasy,347
2015-02-01,western,282
2015-01-01,romance,14067
2015-01-01,graphic novels,13465
2015-01-01,literature,11769
2015-01-01,mystery,10949
2015-01-01,fantasy,9350
2015-01-01,thriller,8591
2015-01-01,historical fiction,8386
2015-01-01,suspense,5947
2015-01-01,cartoons and comics,5928
2015-01-01,young adult fiction,5268
2015-01-01,humorous stories,5217
2015-01-01,historical fiction,5174
2015-01-01,juvenile fiction,4834
2015-01-01,science fiction,4125
2015-01-01,love stories,4110
2015-01-01,domestic fiction,3251
2015-01-01,science fiction,2709
2015-01-01,humor (fiction),2603
2015-01-01,short stories,2266
2015-01-01,adventure stories,2263
2015-01-01,psychological fiction,2229
2015-01-01,short stories,1753
2015-01-01,humorous fiction,1719
2015-01-01,erotic literature,1513
2015-01-01,stories in rhyme,1428
2015-01-01,classic literature,1415
2015-01-01,young adult literature,1353
2015-01-01,young adult fiction,1306
2015-01-01,juvenile literature,1283
2015-01-01,horror,944
2015-01-01,christian fiction,597
2015-01-01,paranormal fiction,585
2015-01-01,adventure and adventurers fiction,577
2015-01-01,christian fiction,433
2015-01-01,western,336
2015-01-01,science fiction & fantasy,283
